fecha,y,exog_1,exog_2
1992-04-01,0.379808,0.9587918999999999,1.1660294
1992-05-01,0.361801,0.9519925,1.1178591999999998
1992-06-01,0.410534,0.9529553,1.0679422
1992-07-01,0.48338867,0.958078267,1.097375934
1992-08-01,0.47546342,0.956370309,1.1221990179999999
1992-09-01,0.53476104,0.959609513,1.153189626
1992-10-01,0.56860613,0.9562049260000001,1.194550652
1992-11-01,0.59522329,0.949715355,1.23148851
1992-12-01,0.77125778,0.993219133,1.2890623319999999
1993-01-01,0.7515028,1.033234613,1.344270208
1993-02-01,0.38755434,1.034009247,1.314828868
1993-03-01,0.42728322,1.040557469,1.286564286
1993-04-01,0.41389018,1.040893087,1.250297664
1993-05-01,0.42885882,1.035440102,1.1818178719999999
1993-06-01,0.47012642,1.034906402,1.1255425959999998
1993-07-01,0.50920969,1.032351267,1.149873666
1993-08-01,0.558443,1.031334954,1.1761056220000001
1993-09-01,0.60151406,1.031964031,1.2136303979999998
1993-10-01,0.6329471,1.018132963,1.254448054
1993-11-01,0.69960539,1.012943222,1.3003438479999998
1993-12-01,0.96308051,1.0704958390000001,1.391118012
1994-01-01,0.81932534,1.109700051,1.44329448
1994-02-01,0.4376698,1.112078013,1.4105256279999998
1994-03-01,0.50612127,1.119804258,1.385160462
1994-04-01,0.47049117,1.119840733,1.339337618
1994-05-01,0.51069626,1.11998939,1.248860768
1994-06-01,0.54051379,1.118196469,1.1930984580000001
1994-07-01,0.55811892,1.113856955,1.217188282
1994-08-01,0.67285206,1.117847451,1.25053444
1994-09-01,0.68589738,1.11647665,1.293615682
1994-10-01,0.68969198,1.089137797,1.3294148259999998
1994-11-01,0.74130358,1.081335621,1.3695727839999998
1994-12-01,0.81330763,1.118899404,1.420610526
1995-01-01,0.80311257,1.148598534,1.446662628
1995-02-01,0.47525824,1.149075241,1.4045348
1995-03-01,0.5525723,1.153262845,1.377110864
1995-04-01,0.52710782,1.151922248,1.334271712
1995-05-01,0.56124982,1.1522353379999999,1.28386015
1995-06-01,0.58897764,1.143847896,1.241033164
1995-07-01,0.62313362,1.13757152,1.27060824
1995-08-01,0.74083723,1.142686045,1.308261226
1995-09-01,0.72537176,1.141092863,1.347914014
1995-10-01,0.81580302,1.141342402,1.398824654
1995-11-01,0.81400947,1.142432092,1.44383102
1995-12-01,0.92665305,1.187571573,1.504534906
1996-01-01,0.93727594,1.226041937,1.543822648
1996-02-01,0.52876165,1.2262073199999999,1.504500626
1996-03-01,0.55933994,1.226016332,1.45320801
1996-04-01,0.57787166,1.224905734,1.405980448
1996-05-01,0.61492741,1.224085113,1.3436353199999997
1996-06-01,0.59418877,1.209420267,1.2750178859999999
1996-07-01,0.70775844,1.207658935,1.3108172439999999
1996-08-01,0.71950195,1.198028828,1.342849646
1996-09-01,0.74432369,1.19106025,1.3761400519999998
1996-10-01,0.80485511,1.178880456,1.414125592
1996-11-01,0.78854235,1.164007097,1.452996308
1996-12-01,0.9710894,1.208239872,1.5056625000000001
1997-01-01,0.84683354,1.236989232,1.531128818
1997-02-01,0.46382252,1.2255843180000001,1.475028584
1997-03-01,0.48527317,1.212618894,1.411112196
1997-04-01,0.5280586,1.206005877,1.359015446
1997-05-01,0.56233647,1.19146368,1.2772648599999998
1997-06-01,0.5885704,1.178370525,1.225612232
1997-07-01,0.66948036,1.170886192,1.2667438
1997-08-01,0.67799365,1.158200046,1.3052878959999998
1997-09-01,0.76299549,1.1556453599999998,1.352275274
1997-10-01,0.79972374,1.138508794,1.399752728
1997-11-01,0.77052192,1.130877632,1.436143032
1997-12-01,0.99438934,1.183934314,1.501124828
1998-01-01,0.80054443,1.21546144,1.5256349839999999
1998-02-01,0.49055721,1.211711301,1.471147328
1998-03-01,0.52440799,1.207918453,1.416084178
1998-04-01,0.53664948,1.202726361,1.36930969
1998-05-01,0.55209054,1.190987379,1.28084993
1998-06-01,0.60336564,1.183524578,1.241414172
1998-07-01,0.68124538,1.175349567,1.279551806
1998-08-01,0.67807535,1.163184728,1.3102852779999998
1998-09-01,0.79489265,1.165621801,1.361933912
1998-10-01,0.7846239,1.144645257,1.408440584
1998-11-01,0.8130087,1.145891684,1.450369196
1998-12-01,0.9777323,1.194609193,1.50966658
1999-01-01,0.89308148,1.231476542,1.552667806
1999-02-01,0.51269597,1.2290811910000001,1.49622847
1999-03-01,0.65299589,1.239171726,1.469902868
1999-04-01,0.5739764,1.236232802,1.4220964079999998
1999-05-01,0.63923842,1.2320321060000001,1.354397632
1999-06-01,0.70387188,1.2346117589999999,1.316555712
1999-07-01,0.77064824,1.232187318,1.3681461659999998
1999-08-01,0.84618588,1.238343516,1.4067841639999998
1999-09-01,0.89272889,1.246315535,1.470534662
1999-10-01,0.89789988,1.238332293,1.522266954
